sid,season,name,subbasin,nature,valid_time,lat,lon,dist2land_km,landfall_km,storm_speed_kt,storm_dir_deg,imd_wind_kt,imd_pres_hpa,imd_ci,jtwc_wind_1min_kt,jtwc_wind_kt,jtwc_pres_hpa,vmax_kt,pmin_hpa,label_agency,label_spread_kt,basin,imd_category,storm_motion_u_kt,storm_motion_v_kt,trend_12h_kt,vmax_plus_12h_kt,dv_12h_kt,vmax_plus_24h_kt,dv_24h_kt,vmax_plus_48h_kt,dv_48h_kt,ri_24h,reintensify_land,regime,featured_slug,is_featured
1990124N09088,1990,Unnamed,BB,NR,1990-05-03 12:00:00,9.1,88.1,713,692.0,4.0,285.0,,,,20.0,18.6,,18.6,,JTWC_conv_3min,,bay_of_bengal,D,-3.8637033051562737,1.0352761804100812,0.0,16.0,-2.6000000000000014,25.0,6.399999999999999,45.0,26.4,0.0,0.0,sheared,,False
1990124N09088,1990,Unnamed,BB,NR,1990-05-03 15:00:00,9.2,87.9,695,673.0,4.0,285.0,,,,20.0,18.6,,18.6,,JTWC_conv_3min,,bay_of_bengal,D,-3.8637033051562737,1.0352761804100812,0.0,21.0,2.3999999999999986,25.0,6.399999999999999,50.0,31.4,0.0,0.0,sheared,,False
1990124N09088,1990,Unnamed,BB,NR,1990-05-03 18:00:00,9.2,87.7,673,663.0,3.0,280.0,,,,20.0,18.6,,18.6,,JTWC_conv_3min,,bay_of_bengal,D,-2.9544232590366244,0.5209445330007899,0.0,25.0,6.399999999999999,25.0,6.399999999999999,55.0,36.4,0.0,0.0,sheared,,False
1990124N09088,1990,Unnamed,BB,NR,1990-05-03 21:00:00,9.2,87.6,663,628.0,4.0,250.0,,,,20.0,18.6,,18.6,,JTWC_conv_3min,,bay_of_bengal,D,-3.7587704831436337,-1.3680805733026742,0.0,25.0,6.399999999999999,28.0,9.4,55.0,36.4,0.0,0.0,sheared,,False
1990124N09088,1990,Unnamed,BB,NR,1990-05-04 00:00:00,9.1,87.3,628,601.0,6.0,235.0,16.0,1006.0,1.0,20.0,18.6,,16.0,1006.0,IMD,2.6000000000000014,bay_of_bengal,,-4.91491226573395,-3.441458618106278,-2.6000000000000014,25.0,9.0,30.0,14.0,55.0,39.0,0.0,0.0,sheared,,False
1990124N09088,1990,Unnamed,BB,NR,1990-05-04 03:00:00,8.9,87.1,601,577.0,4.0,240.0,21.0,1004.0,,20.0,18.6,,21.0,1004.0,IMD,2.3999999999999986,bay_of_bengal,D,-3.464101615137754,-2.0000000000000018,2.3999999999999986,25.0,4.0,33.0,12.0,66.0,45.0,0.0,0.0,sheared,,False
1990124N09088,1990,Unnamed,BB,NR,1990-05-04 06:00:00,8.8,86.9,577,577.0,3.0,305.0,25.0,1002.0,1.5,20.0,18.6,,25.0,1002.0,IMD,6.399999999999999,bay_of_bengal,D,-2.4574561328669757,1.720729309053138,6.399999999999999,25.0,0.0,35.0,10.0,77.0,52.0,0.0,0.0,sheared,,False
1990124N09088,1990,Unnamed,BB,NR,1990-05-04 09:00:00,9.0,86.9,583,572.0,5.0,330.0,25.0,1001.0,,23.0,21.39,,25.0,1001.0,IMD,3.61,bay_of_bengal,D,-2.500000000000002,4.330127018922192,6.399999999999999,28.0,3.0,40.0,15.0,77.0,52.0,0.0,0.0,sheared,,False
1990124N09088,1990,Unnamed,BB,NR,1990-05-04 12:00:00,9.3,86.7,572,541.0,6.0,295.0,25.0,1000.0,1.5,25.0,23.25,,25.0,1000.0,IMD,1.75,bay_of_bengal,D,-5.4378467222198985,2.535709570444197,9.0,30.0,5.0,45.0,20.0,77.0,52.0,0.0,0.0,sheared,,False
1990124N09088,1990,Unnamed,BB,NR,1990-05-04 15:00:00,9.3,86.3,530,500.0,7.0,270.0,25.0,1001.0,,25.0,23.25,,25.0,1001.0,IMD,1.75,bay_of_bengal,D,-7.0,-1.2858791391047208e-15,4.0,33.0,8.0,50.0,25.0,77.0,52.0,0.0,0.0,sheared,,False
1990124N09088,1990,Unnamed,BB,NR,1990-05-04 18:00:00,9.3,86.0,500,474.0,7.0,285.0,25.0,1002.0,1.5,25.0,23.25,,25.0,1002.0,IMD,1.75,bay_of_bengal,D,-6.761480784023479,1.811733315717642,0.0,35.0,10.0,55.0,30.0,77.0,52.0,1.0,0.0,sheared,,False
1990124N09088,1990,Unnamed,BB,NR,1990-05-04 21:00:00,9.5,85.7,479,464.0,6.0,305.0,28.0,1000.0,,28.0,26.040000000000003,,28.0,1000.0,IMD,1.9599999999999973,bay_of_bengal,DD,-4.914912265733951,3.4414586181062763,3.0,40.0,12.0,55.0,27.0,84.0,56.0,0.0,0.0,sheared,,False
