sid,name,season,basin,start_time,end_time,n_fixes,peak_vmax_kt,min_pmin_hpa,peak_category,made_landfall,had_ri,mean_label_spread_kt,featured_slug
2025295N09068,Unnamed,2025,arabian_sea,2025-10-22 00:00:00,2025-10-31 18:00:00,79,25.0,1000.0,D,False,0.0,,
2025270N19086,Unnamed,2025,land,2025-09-26 12:00:00,2025-09-28 00:00:00,13,25.0,998.0,D,True,0.0,,
2025250N25073,Unnamed,2025,land,2025-09-06 18:00:00,2025-09-10 18:00:00,33,30.0,995.0,DD,True,0.0,,
2025231N19085,Unnamed,2025,bay_of_bengal,2025-08-18 12:00:00,2025-08-19 06:00:00,7,20.0,996.0,D,True,,,
2025206N21090,Unnamed,2025,land,2025-07-25 00:00:00,2025-07-26 18:00:00,15,25.0,988.0,D,True,0.0,,
2025198N25082,Unnamed,2025,land,2025-07-17 00:00:00,2025-07-19 18:00:00,23,25.0,993.0,D,True,0.0,,
2025196N27075,Unnamed,2025,land,2025-07-15 03:00:00,2025-07-15 18:00:00,6,20.0,993.0,D,True,,,
2025195N23089,Unnamed,2025,land,2025-07-14 06:00:00,2025-07-15 00:00:00,7,20.0,996.0,D,True,,,
2025149N21088,Unnamed,2025,land,2025-05-29 00:00:00,2025-05-30 06:00:00,11,30.0,986.0,DD,True,0.0,,
2025144N17073,Unnamed,2025,land,2025-05-24 00:00:00,2025-05-24 18:00:00,7,25.0,998.0,D,True,,,
2024356N14084,Unnamed,2024,bay_of_bengal,2024-12-20 12:00:00,2024-12-21 06:00:00,7,25.0,1002.0,D,False,,,
2024329N04089,Fengal,2024,bay_of_bengal,2024-11-23 18:00:00,2024-12-04 09:00:00,83,45.0,996.0,CS,True,0.0,2.4749999999999996,
2024295N15092,Dana,2024,bay_of_bengal,2024-10-21 06:00:00,2024-10-26 00:00:00,39,60.0,986.0,SCS,True,0.0,3.273548387096775,
2024290N11084,Unnamed,2024,bay_of_bengal,2024-10-15 12:00:00,2024-10-16 18:00:00,11,25.0,1000.0,D,False,0.0,,
2024288N16065,Unnamed,2024,arabian_sea,2024-10-13 12:00:00,2024-10-15 12:00:00,17,25.0,1001.0,D,False,0.0,,
2024258N22091,Unnamed,2024,land,2024-09-13 12:00:00,2024-09-17 18:00:00,35,30.0,989.0,DD,True,0.0,,
2024255N24080,Unnamed,2024,land,2024-09-11 03:00:00,2024-09-13 00:00:00,16,25.0,994.0,D,True,0.0,,
2024252N18087,Unnamed,2024,bay_of_bengal,2024-09-08 00:00:00,2024-09-10 06:00:00,19,30.0,991.0,DD,True,0.0,,
2024244N18085,Unnamed,2024,land,2024-08-31 00:00:00,2024-09-02 06:00:00,19,25.0,996.0,D,True,0.0,,
2024238N25077,Asna,2024,land,2024-08-25 00:00:00,2024-09-02 21:00:00,72,40.0,990.0,CS,True,0.0,2.9186956521739127,asna
2024216N24085,Unnamed,2024,land,2024-08-02 12:00:00,2024-08-05 18:00:00,27,30.0,988.0,DD,True,0.0,,
2024201N19086,Unnamed,2024,bay_of_bengal,2024-07-19 03:00:00,2024-07-20 06:00:00,10,25.0,990.0,D,True,0.0,,
2024145N14087,Remal,2024,bay_of_bengal,2024-05-23 21:00:00,2024-05-28 06:00:00,37,60.0,978.0,SCS,True,0.0,5.174999999999999,
2023334N08088,Michaung,2023,bay_of_bengal,2023-12-01 00:00:00,2023-12-06 06:00:00,43,55.0,986.0,SCS,True,0.0,3.870000000000001,
2023317N10094,Midhili,2023,bay_of_bengal,2023-11-13 09:00:00,2023-11-18 00:00:00,38,50.0,996.0,SCS,True,0.0,5.089090909090907,
2023293N12089,Hamoon,2023,bay_of_bengal,2023-10-21 03:00:00,2023-10-25 06:00:00,34,65.0,984.0,VSCS,True,1.0,6.249310344827586,
2023292N11063,Tej,2023,arabian_sea,2023-10-19 09:00:00,2023-10-24 12:00:00,42,95.0,964.0,ESCS,True,1.0,7.985000000000001,
2023273N16073,Unnamed,2023,arabian_sea,2023-09-30 03:00:00,2023-10-01 00:00:00,8,25.0,1002.0,D,True,,,
2023212N19090,Unnamed,2023,land,2023-07-30 12:00:00,2023-08-03 06:00:00,31,37.2,984.0,CS,True,0.0,6.1000000000000005,
2023160N20092,Unnamed,2023,bay_of_bengal,2023-06-08 12:00:00,2023-06-10 06:00:00,15,41.85,982.0,CS,False,0.0,,
2023156N10067,Biparjoy,2023,arabian_sea,2023-06-05 00:00:00,2023-06-19 00:00:00,113,90.0,958.0,ESCS,True,1.0,10.24505617977528,biparjoy
2023129N08091,Mocha,2023,bay_of_bengal,2023-05-08 18:00:00,2023-05-15 00:00:00,51,115.0,938.0,ESCS,True,1.0,6.102666666666668,
2023030N08087,Unnamed,2023,bay_of_bengal,2023-01-30 03:00:00,2023-02-02 12:00:00,28,25.0,1004.0,D,True,0.0,,
2022356N09085,Unnamed,2022,bay_of_bengal,2022-12-22 03:00:00,2022-12-25 06:00:00,26,25.0,1004.0,D,False,0.0,,
2022347N12074,Unnamed,2022,arabian_sea,2022-12-12 15:00:00,2022-12-19 00:00:00,52,46.5,994.0,CS,False,0.0,6.889583333333334,
2022338N05100,Mandous,2022,bay_of_bengal,2022-12-04 09:00:00,2022-12-10 09:00:00,48,50.0,990.0,SCS,True,0.0,6.266129032258067,
2022324N10086,Unnamed,2022,bay_of_bengal,2022-11-20 00:00:00,2022-11-22 00:00:00,17,25.0,1003.0,D,False,0.0,,
2022295N13093,Sitrang,2022,bay_of_bengal,2022-10-21 21:00:00,2022-10-25 00:00:00,26,45.0,996.0,CS,True,0.0,3.021363636363635,
2022254N20085,Unnamed,2022,land,2022-09-11 00:00:00,2022-09-12 00:00:00,9,25.0,998.0,D,True,0.0,,
2022230N18095,Unnamed,2022,land,2022-08-17 12:00:00,2022-08-23 00:00:00,45,35.34,992.0,CS,True,0.0,7.056363636363638,
2022226N22088,Unnamed,2022,land,2022-08-14 03:00:00,2022-08-16 06:00:00,18,25.0,994.0,D,True,0.0,,
2022224N22067,Unnamed,2022,arabian_sea,2022-08-11 18:00:00,2022-08-14 03:00:00,20,27.900000000000002,989.0,D,False,0.0,9.166000000000002,
2022221N21086,Unnamed,2022,land,2022-08-09 03:00:00,2022-08-09 18:00:00,6,25.0,990.0,D,True,,,
2022197N22069,Unnamed,2022,arabian_sea,2022-07-16 03:00:00,2022-07-17 18:00:00,14,25.0,992.0,D,False,0.0,,
2022140N16097,Unnamed,2022,land,2022-05-20 03:00:00,2022-05-20 18:00:00,6,25.0,998.0,D,True,,,
2022126N07095,Asani,2022,bay_of_bengal,2022-05-05 21:00:00,2022-05-13 06:00:00,60,55.0,982.0,SCS,True,0.0,6.925897435897436,
